venue,zone,address,capacity,latitude,longitude,in_okc,sports
2028 Stadium,Inglewood,"SoFi Stadium, 1001, Champion Drive, Hollywood Park, Inglewood, Los Angeles County, California, 90301, United States",,33.9534074,-118.3390098,False,Swimming
Alamitos Beach Stadium,Long Beach,"Alamitos Bay Beach, Belmont Shore, Long Beach, Los Angeles County, California, United States",,33.7550395,-118.1319451,False,Beach Volleyball
Belmont Shore,Long Beach,"Belmont Shore, Long Beach, Los Angeles County, California, 90803, United States",,33.7572435,-118.1370107,False,Open Water Swimming; Rowing Coastal Beach Sprints; Sailing (Windsurfing & Kite)
Carson Center Court,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Tennis
Carson Court 1,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Tennis
Carson Court 2,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Tennis
Carson Courts 3-11,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Tennis
Carson Field,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Hockey
Carson Stadium,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Archery; Rugby Sevens
Carson Velodrome,Carson,"Dignity Health Sports Park, 18400, South Avalon Boulevard, Carson, Los Angeles County, California, 90747, United States",,33.8642391,-118.2610795,False,Cycling Track
Comcast Squash Center at Universal Studios,Universal City,"Universal Studios Hollywood, 100, Universal Hollywood Drive Turnaround, Universal City, Los Angeles County, California, 91608, United States",,34.1392322,-118.3543834,False,Squash
DTLA Arena,DTLA,"Crypto.com Arena, 1111, South Figueroa Street, South Park, Downtown, Los Angeles, Los Angeles County, California, 90015, United States",,34.0429979,-118.2671352,False,Artistic Gymnastics; Boxing - Final Stages; Trampoline Gymnastics
Dodger Stadium,DTLA,"Dodger Stadium, 1000, Vin Scully Avenue, Chinatown, Los Angeles, Los Angeles County, California, 90012, United States",,34.0736255,-118.2398452,False,Baseball
Exposition Park Stadium,Exposition Park,"BMO Stadium, South Coliseum Drive, Exposition Park, Los Angeles, Los Angeles County, California, 90037, United States",,34.012814,-118.2840892,False,Flag Football; Lacrosse
Fairgrounds Cricket Stadium,Pomona,"Pomona Raceway, Fairplex Drive, Pomona, Los Angeles County, California, 91768, United States",,34.0894902,-117.772518,False,Cricket
Galen Center,Exposition Park,"Galen Center, South Figueroa Street, University Park, Historic South-Central, Los Angeles, Los Angeles County, California, 90089, United States",,34.020753,-118.2797965,False,Badminton; Rhythmic Gymnastics
Honda Center,Anaheim,"Honda Center, 2695, East Katella Avenue, Anaheim, Orange County, California, 92806, United States",,33.8078316,-117.876534,False,Volleyball
Industry Hills MTB Course,City of Industry,"The Industry Hills Golf Club (Dwight D Eisenhower & Babe Zaharias), 1, Industry Hills Parkway, City of Industry, Los Angeles County, California, 91744, United States",,34.0214852,-117.928133,False,Mountain Bike
Inglewood Dome,Inglewood,"SoFi Stadium, 1001, Champion Drive, Hollywood Park, Inglewood, Los Angeles County, California, 90301, United States",,33.9534074,-118.3390098,False,Basketball
LA Convention Center Hall 1,DTLA,"Los Angeles Convention Center, 1201, South Figueroa Street, South Park, Los Angeles, Los Angeles County, California, 90074, United States",,34.0414677,-118.2689803,False,Fencing; Taekwondo
LA Convention Center Hall 2,DTLA,"Los Angeles Convention Center, 1201, South Figueroa Street, South Park, Los Angeles, Los Angeles County, California, 90074, United States",,34.0414677,-118.2689803,False,Judo; Wrestling
LA Convention Center Hall 3,DTLA,"Los Angeles Convention Center, 1201, South Figueroa Street, South Park, Los Angeles, Los Angeles County, California, 90074, United States",,34.0414677,-118.2689803,False,Table Tennis
LA Memorial Coliseum,Exposition Park,"Los Angeles Memorial Coliseum, 3911, South Figueroa Street, Los Angeles, Los Angeles County, California, 90037, United States",,34.0139159,-118.2877996,False,Athletics (Track & Field)
Long Beach Aquatics Center,Long Beach,"Long Beach Convention Center, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States",,33.764731,-118.1906881,False,Artistic Swimming; Water Polo
Long Beach Arena,Long Beach,"Long Beach Arena, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States",,33.7641077,-118.188365,False,Handball
Long Beach Climbing Theater,Long Beach,"Long Beach Convention Center, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States",,33.764731,-118.1906881,False,Sport Climbing
Long Beach Target Shooting Hall,Long Beach,"Long Beach Convention Center, 300, East Ocean Boulevard, Long Beach, Los Angeles County, California, 90802, United States",,33.764731,-118.1906881,False,Shooting (Rifle & Pistol)
Marine Stadium,Long Beach,"Long Beach Marine Stadium, Boathouse Lane, Marina Pacifica, Naples, Long Beach, Los Angeles County, California, 90803, United States",,33.7624042,-118.121792,False,Canoe Sprint; Rowing
OKC Softball Park,OKC,"Devon Park, Northeast 50th Street, Oklahoma City, Oklahoma County, Oklahoma, 73111, United States",,35.5247119,-97.4642798,True,Softball
OKC Whitewater Center,OKC,"Riversport Rapids, Greenway Trail, Oklahoma City, Oklahoma County, Oklahoma, 73102, United States",,35.4598977,-97.4987041,True,Canoe Slalom
Peacock Theater,DTLA,"Peacock Theater, 777, Chick Hearn Court, South Park, Downtown, Los Angeles, Los Angeles County, California, 90015, United States",,34.0445026,-118.2670716,False,Boxing - Preliminary Stages; Weightlifting
Port of Los Angeles,Port of Los Angeles,"Port of Los Angeles, Los Angeles, Los Angeles County, California, 90731, United States",,33.7419505,-118.2612367,False,"Sailing (Dinghy, Skiff & Multihull)"
Riviera Country Club,Riviera,"Riviera Country Club, 1250, Capri Drive, Los Angeles, Los Angeles County, California, 90272, United States",,34.0451645,-118.5024932,False,Golf
Rose Bowl Aquatics Center,Pasadena,"Rose Bowl Aquatics Center, Arroyo Boulevard, Pasadena Council District 1, Pasadena, Los Angeles County, California, 91102, United States",,34.1512722,-118.1643208,False,Diving
Rose Bowl Stadium,Pasadena,"Rose Bowl Stadium, Stivers Way, Pasadena Council District 1, Pasadena, Los Angeles County, California, 91109, United States",,34.1613492,-118.1676674,False,Football (Soccer) - Final Stages
Santa Anita Park,Arcadia,"Santa Anita Park, Colorado Street, Arcadia, Los Angeles County, California, 91066, United States",,34.1389561,-118.0458877,False,Equestrian
TBD,TBD,,,,,False,Athletics (Race Walk); Cycling Road (Time Trial); Football (Soccer) - Preliminary Stages
Trestles State Beach,Trestles Beach,"San Onofre State Beach, San Clemente, San Diego County, California, United States",,33.4224773,-117.5807401,False,Surfing
Valley Complex 1,Valley,"Sepulveda Basin Sports Complex, 6201, Balboa Boulevard, Encino Neighborhood Council District, Los Angeles, Los Angeles County, California, 91406, United States",,34.1829734,-118.5035724,False,BMX Freestyle; Skateboarding (Street)
Valley Complex 2,Valley,"Sepulveda Basin Sports Complex, 6201, Balboa Boulevard, Encino Neighborhood Council District, Los Angeles, Los Angeles County, California, 91406, United States",,34.1829734,-118.5035724,False,Modern Pentathlon; Skateboarding (Park)
Valley Complex 3,Valley,"Sepulveda Basin Sports Complex, 6201, Balboa Boulevard, Encino Neighborhood Council District, Los Angeles, Los Angeles County, California, 91406, United States",,34.1829734,-118.5035724,False,3x3 Basketball
Valley Complex 4,Valley,"Sepulveda Basin Sports Complex, 6201, Balboa Boulevard, Encino Neighborhood Council District, Los Angeles, Los Angeles County, California, 91406, United States",,34.1829734,-118.5035724,False,BMX Racing
Venice Beach,Venice,"Venice Beach, Venice, Los Angeles, Los Angeles County, California, United States",,33.9799601,-118.468771,False,Triathlon
Venice Beach Boardwalk - Start,Venice,"Venice Beach Boardwalk, Venice, Los Angeles, Los Angeles County, California, United States",,33.9867133,-118.4741048,False,Athletics (Marathon); Cycling Road (Road Race)
Whittier Narrows Clay Shooting Center,Whittier Narrows,"Whittier Narrows Recreation Area, Whittier Narrows, South El Monte, Los Angeles County, California, United States",,34.03502,-118.0510434,False,Shooting (Shotgun)
